Labels,Title,State,Date,URL,Author
"bug, prio_medium",Internal server error on REST request - dbus.exceptions.DBusException: org.freedesktop.DBus.Error.ObjectPathInUse: busy processing bus traffic,closed,2016-11-17,https://github.com/openbmc/openbmc/issues/812,shenki
,[Barreleye v1.99.0-251-gb78c6de ] Powercap properties not loaded,open,2016-11-16,https://github.com/openbmc/openbmc/issues/811,gkeishin
,Don't Build Image,closed,2016-11-15,https://github.com/openbmc/openbmc/issues/810,Youngzhong
,Host watchdog gets enabled on debug mode,open,2016-11-14,https://github.com/openbmc/openbmc/issues/809,anoo1
,Console client connection fails when streaming a large amount of data,closed,2016-11-14,https://github.com/openbmc/openbmc/issues/808,dbirk
,2-chip P9 vcs support,open,2016-11-14,https://github.com/openbmc/openbmc/issues/807,geissonator
"bug, prio_high",[Build v1.99.0-246-g6026e60 ] Phosphor settings services are not running,closed,2016-11-14,https://github.com/openbmc/openbmc/issues/806,gkeishin
,http://www.openbmc-project.xyz/ returns 404,open,2016-11-14,https://github.com/openbmc/openbmc/issues/805,amboar
,Power state remains 0 after starting power on.,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/804,micwalsh
,led: Generate required LED information from the MRW,open,2016-11-11,https://github.com/openbmc/openbmc/issues/803,geissonator
,led: Move all existing code to new LED interfaces,open,2016-11-11,https://github.com/openbmc/openbmc/issues/802,geissonator
enhancement,Create systemd unit file for phosphor-inventory-manager,open,2016-11-11,https://github.com/openbmc/openbmc/issues/801,bradbishop
enhancement,Remove all hardcoded org.openbmc.Inventoryxxx busname lookups,open,2016-11-11,https://github.com/openbmc/openbmc/issues/800,bradbishop
enhancement,Remove all hardcoded inventory object path roots,open,2016-11-11,https://github.com/openbmc/openbmc/issues/799,bradbishop
"enhancement, Epic",Model non-sensor sensors,open,2016-11-11,https://github.com/openbmc/openbmc/issues/798,bradbishop
enhancement,Add hwmon<->udev virtual and set PREFERRED_PROVIDER for each system.,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/797,bradbishop
enhancement,Create hwmon udev-rule generating recipes for existing non-mrw systems,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/796,bradbishop
enhancement,Create systemd unit file for phosphor-hwmon,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/795,bradbishop
,[ Barreleye v1.99.0-242-gfddb958 ] Poweron didn't succeed to Host booted state,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/794,gkeishin
enhancement,Enhance hwmon udev rules to include configuration,closed,2016-11-11,https://github.com/openbmc/openbmc/issues/793,bradbishop
